City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Plainview,US,34.18,-101.71,60.8,54,1,13.87,1570418143
Itoman,JP,26.12,127.67,86.0,65,20,8.05,1570418143
Guasdualito,VE,7.24,-70.73,80.6,100,20,2.24,1570418144
Broome,GB,52.47,1.45,55.0,93,97,2.8,1570418144
Bunia,CD,1.56,30.25,62.15,97,76,1.61,1570418145
Turayf,SA,31.68,38.65,62.6,63,0,3.36,1570418146
Baykit,RU,61.68,96.39,38.7,99,100,5.19,1570418146
Tezu,IN,27.93,96.16,78.85,73,93,1.92,1570418147
Boma,GH,7.08,-2.17,69.57,99,59,3.04,1570418147
Tubay,PH,9.17,125.52,90.32,53,88,5.21,1570418148
Areosa,PT,41.72,-8.86,61.0,100,40,7.65,1570418149
Koutsouras,GR,35.03,25.95,69.01,75,20,1.01,1570418150
Moose Factory,CA,51.26,-80.61,50.0,71,40,12.75,1570418150
Yar-Sale,RU,66.83,70.83,34.16,76,0,21.23,1570418151
Inhambane,MZ,-23.87,35.38,63.18,96,11,1.61,1570418152
Taoudenni,ML,22.68,-3.98,81.21,11,0,6.85,1570418152
Kihei,US,20.76,-156.45,82.4,61,40,10.29,1570418153
Havoysund,NO,71.0,24.66,39.2,80,75,17.22,1570418154
Tignere,CM,7.37,12.65,66.74,96,100,1.41,1570418154
Alta Floresta,BR,-9.87,-56.08,71.35,95,77,1.88,1570418156
Pingtung,TW,22.67,120.49,87.8,66,75,9.17,1570418156
Palmares do Sul,BR,-30.26,-50.51,62.01,91,94,1.01,1570418157
Aranos,NA,-24.14,19.11,63.57,59,0,6.51,1570418157
Biltine,TD,14.53,20.93,82.13,54,15,4.97,1570418158
La Ciotat,FR,43.17,5.6,64.4,59,0,32.21,1570418158
Launceston,AU,-41.43,147.14,59.0,44,40,12.75,1570418123
Kitui,KE,-1.37,38.02,63.72,91,44,4.32,1570418159
Walvis Bay,NA,-22.95,14.51,50.0,87,0,10.29,1570418160
Le Port,FR,42.87,1.37,55.0,75,100,7.0,1570418161
Riviere-au-Renard,CA,49.0,-64.4,48.2,66,40,3.36,1570418162
Lavrentiya,RU,65.58,-170.99,27.66,90,63,1.92,1570418162
Qaqortoq,GL,60.72,-46.03,51.8,34,40,19.46,1570418223
Dalbandin,PK,28.9,64.41,70.11,63,0,1.39,1570418223
Luderitz,NA,-26.65,15.16,57.2,71,0,8.05,1570418224
Pareora,NZ,-44.49,171.21,61.0,47,34,3.15,1570418224
Isangel,VU,-19.55,169.27,80.6,69,75,11.41,1570418225
Nanortalik,GL,60.14,-45.24,40.14,79,0,0.94,1570418225
Abu Dhabi,AE,24.47,54.37,86.0,55,0,18.34,1570418110
Salinopolis,BR,-0.61,-47.36,80.92,80,0,15.77,1570418226
Hadejia,NG,12.45,10.04,78.28,71,25,5.79,1570418227
Sa Kaeo,TH,13.8,102.09,81.45,77,67,4.92,1570418227
Wladyslawowo,PL,54.79,18.4,41.0,93,75,8.05,1570418228
Nurma,RU,59.55,31.02,33.01,96,75,2.24,1570418228
Gigmoto,PH,13.78,124.39,83.59,73,13,12.73,1570418229
Sicuani,PE,-14.27,-71.23,41.07,53,91,3.02,1570418229
Sinnamary,GF,5.38,-52.96,81.55,82,0,13.18,1570418230
Bako,BF,12.29,-0.73,74.75,86,62,7.56,1570418230
Samarai,PG,-10.62,150.67,79.03,75,55,9.93,1570418231
Benemerito de las Americas,MX,16.52,-90.64,71.85,99,100,2.84,1570418231
Redmond,US,47.67,-122.12,55.4,66,1,3.36,1570418232
Diego de Almagro,CL,-26.39,-70.05,51.24,72,0,2.28,1570418232
Jalu,LY,29.03,21.55,64.94,81,0,6.96,1570418233
Grand Gaube,MU,-20.01,57.66,73.99,88,40,13.87,1570418234
Kisanga,CD,-11.72,27.4,62.4,64,0,4.83,1570418234
Sistranda,NO,63.73,8.83,45.0,81,75,4.7,1570418235
Chumikan,RU,54.72,135.31,35.13,98,100,1.63,1570418235
Price,US,39.6,-110.81,46.4,20,1,10.29,1570418236
South Charleston,US,38.37,-81.7,70.0,100,75,3.96,1570418237
Pervomayskoye,RU,57.07,86.23,52.61,82,46,8.63,1570418237
Ciudad Bolivar,VE,8.12,-63.55,77.54,81,97,7.23,1570418238
Sisimiut,GL,66.94,-53.67,34.02,72,15,7.81,1570418238
Alice Springs,AU,-23.7,133.88,89.6,14,0,5.82,1570418239
Itupiranga,BR,-5.13,-49.33,77.0,88,75,1.12,1570418239
Am Timan,TD,11.04,20.28,71.83,92,97,1.54,1570418240
Balaka,MW,-14.99,34.96,63.41,77,24,10.07,1570418240
Anadyr,RU,64.73,177.51,33.8,80,90,22.37,1570418241
Lagoa Formosa,BR,-18.77,-46.41,72.0,69,31,0.56,1570418241
Tenenkou,ML,14.46,-4.91,83.44,56,100,1.63,1570418242
Ornskoldsvik,SE,63.29,18.72,35.6,74,85,8.05,1570418242
Chanika,MW,-12.93,34.19,67.8,69,0,1.83,1570418243
Maceio,BR,-9.67,-35.74,69.8,94,0,4.7,1570417992
Birjand,IR,32.86,59.22,57.2,14,0,11.41,1570418244
Finnsnes,NO,69.23,17.98,39.2,93,100,16.11,1570418245
Gemena,CD,3.25,19.78,70.45,92,92,1.25,1570418245
Nizhniy Kuranakh,RU,58.84,125.49,33.28,95,100,10.38,1570418246
Saravan,AM,39.72,45.65,62.6,55,40,6.93,1570418247
Hun,BE,50.34,4.87,51.01,100,75,5.82,1570418247
Valparaiso,US,41.47,-87.06,60.8,62,1,3.36,1570418248
Zorritos,PE,-3.68,-80.68,89.6,33,75,5.82,1570418249
Skibbereen,IE,51.55,-9.27,57.2,100,75,16.11,1570418249
Champawat,IN,29.34,80.09,71.6,88,40,1.12,1570418250
Lujan,AR,-46.57,-67.67,47.84,66,80,25.03,1570418250
Morondava,MG,-20.3,44.28,77.49,70,0,10.36,1570418251
Lodja,CD,-3.52,23.6,69.24,99,69,1.66,1570418251
Conde,BR,-11.81,-37.61,68.9,98,19,2.68,1570418253
Awjilah,LY,29.14,21.3,63.64,85,0,6.49,1570418253
Port Augusta,AU,-32.49,137.76,66.0,72,94,12.75,1570418254
Lasa,CY,34.92,32.53,75.2,69,90,8.05,1570418315
Moree,AU,-29.46,149.84,100.4,8,0,18.34,1570418261
Black River,JM,18.03,-77.85,82.4,74,20,5.82,1570418317
Selfoss,IS,63.94,-21.0,51.8,62,0,28.86,1570418318
Wenzhou,CN,28.02,120.66,86.0,20,24,2.68,1570418318
Mahroni,IN,24.59,78.73,79.34,70,12,1.7,1570418319
Buliwao,PH,16.48,121.23,77.27,54,0,6.49,1570418320
Saa,NG,7.32,10.08,71.56,96,91,6.53,1570418320
Aykhal,RU,65.95,111.51,19.4,92,90,6.71,1570418321
Awbari,LY,26.59,12.77,68.72,26,0,5.51,1570418321
Bonthe,SL,7.53,-12.5,76.87,88,100,6.49,1570418321
Dryden,CA,49.79,-92.84,42.8,93,20,11.41,1570418322
Acajutla,SV,13.59,-89.83,83.41,70,100,3.56,1570418322
Pochutla,MX,15.74,-96.47,77.0,88,75,3.11,1570418323
Riyadh,SA,24.63,46.72,80.6,32,54,4.7,1570418186
Sandnessjoen,NO,66.02,12.63,42.8,93,53,3.36,1570418324
Abapo,BO,-18.83,-63.47,58.37,83,98,1.3,1570418324
Itamaraca,BR,-7.75,-34.83,77.0,83,40,8.05,1570418325
Kars,TR,40.61,43.1,48.2,87,20,6.93,1570418325
Lillooet,CA,50.69,-121.94,57.2,54,90,19.46,1570418210
Jvari,GE,42.72,42.05,37.31,98,86,2.73,1570418326
Tuy Hoa,VN,13.08,109.3,84.33,61,4,5.55,1570418326
Itarema,BR,-2.92,-39.92,75.15,84,8,6.99,1570418327
Half Moon Bay,US,37.46,-122.43,73.4,30,75,14.99,1570418327
Koumac,NC,-20.56,164.28,70.84,76,0,17.05,1570418328
Talakan,RU,50.29,130.28,51.01,57,100,7.94,1570418328
Great Yarmouth,GB,52.61,1.73,55.0,93,66,19.6,1570418329
Mount Isa,AU,-20.73,139.49,95.0,9,0,11.41,1570418329
Khash,IR,28.22,61.21,66.99,63,0,7.08,1570418330
Abaete,BR,-19.16,-45.45,76.37,57,45,4.56,1570418101
Malko Tarnovo,TR,41.98,27.52,52.0,71,0,9.17,1570418331
Ixtapa,MX,20.71,-105.21,84.99,83,75,3.36,1570418331
Bela,PK,26.23,66.31,76.53,52,0,2.57,1570418332
Ustynivka,UA,47.96,32.54,41.0,93,0,3.02,1570418332
Redding,US,40.59,-122.39,69.8,28,1,4.7,1570418333
Srivaikuntam,IN,8.63,77.91,84.2,74,75,4.7,1570418333
Sur,OM,22.57,59.53,80.55,68,0,8.68,1570418334
Kirakira,SB,-10.46,161.92,80.42,86,34,18.41,1570418334
Milici,IT,38.08,15.17,69.01,77,0,6.93,1570418335
Yendi,GH,9.45,0.0,72.82,96,81,1.16,1570418335
La Libertad,PE,-16.38,-71.56,51.8,20,0,6.93,1570418336
Constitucion,MX,23.99,-104.67,70.0,51,75,4.7,1570418336
Masuguru,MZ,-11.38,38.46,71.98,76,0,3.62,1570418337
Dindori,IN,22.94,81.08,75.04,75,0,3.91,1570418337
Kedougou,SN,12.56,-12.19,74.46,82,100,3.24,1570418338
West Bay,CA,49.34,-123.21,54.0,93,90,2.06,1570418338
Kadyy,RU,57.79,43.19,36.32,100,100,3.62,1570418339
Merauke,ID,-8.49,140.4,79.48,83,0,22.55,1570418339
Ouro Sogui,SN,15.61,-13.32,86.0,74,0,4.7,1570418339
Cockburn Town,TC,21.46,-71.14,83.73,75,97,13.6,1570418340
Manggar,ID,-2.88,108.27,75.97,88,100,6.38,1570418340
Cherdyn,RU,60.4,56.48,40.66,94,100,6.49,1570418341
Batagay,RU,67.65,134.64,23.7,44,54,1.94,1570418341
Almaznyy,RU,48.03,40.04,44.6,75,40,8.95,1570418342
Yueyang,CN,29.36,113.12,63.01,66,100,9.55,1570418342
Scarborough,GB,54.28,-0.41,50.0,100,69,4.7,1570418343
Broken Hill,AU,-31.97,141.45,73.4,33,0,12.75,1570418343
Lerwick,GB,60.15,-1.15,50.0,87,100,23.04,1570418229
Beringovskiy,RU,63.05,179.32,32.7,98,100,32.1,1570418404
Qinzhou,CN,21.96,108.62,74.16,93,100,2.04,1570418405
Shanghai,CN,31.23,121.49,75.99,69,75,8.95,1570418405
Kununurra,AU,-15.77,128.74,95.0,34,40,8.05,1570418262
Claveria,PH,8.61,124.89,84.99,76,85,5.99,1570418406
Kanalia,GR,39.4,21.8,57.2,67,75,4.7,1570418407
Alamos,AR,-36.9,-62.36,61.16,36,81,10.45,1570418407
Angoche,MZ,-16.23,39.91,70.72,90,0,2.35,1570418408
